source,title,chunk_id,source_type,content
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",0,research,"2 Related Work 2.1 AI Integration in Creative Processes 2.2 AI Tools for Creative Writing 2.3 AI-Supported Screenwriting

2.1 AI Integration in Creative Processes

2.2 AI Tools for Creative Writing

3 Methodology 3.1 Participants 3.2 Apparatus and Materials 3.3 Procedure 3.4 Data Analysis

4 Findings 1: Existing Practices 4.1 Workflow 4.2 Challenges 4.3 Task Allocated to AI 4.3.1 Goal & Idea Stage 4.3.2 Synopsis & Outline Stage 4.3.3 Character Stage 4.3.4 Story Structure & Plot Stage 4.3.5 Dialogue Stage 4.3.6 Screenplay Text Stage 4.3.7 Summary

4.3 Task Allocated to AI 4.3.1 Goal & Idea Stage 4.3.2 Synopsis & Outline Stage 4.3.3 Character Stage 4.3.4 Story Structure & Plot Stage 4.3.5 Dialogue Stage 4.3.6 Screenplay Text Stage 4.3.7 Summary

4.3.4 Story Structure & Plot Stage"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",1,research,"4.3.4 Story Structure & Plot Stage

5 Findings 2: Attitudes Toward AI Integration 5.1 Attitudes Toward Current AI Integration 5.1.1 Positive 5.1.2 Negative 5.1.3 Contradictory 5.2 Attitudes Toward the Impact of AI Integration 5.2.1 Positive 5.2.2 Negative 5.2.3 Contradictory

5.1 Attitudes Toward Current AI Integration 5.1.1 Positive 5.1.2 Negative 5.1.3 Contradictory

5.2 Attitudes Toward the Impact of AI Integration 5.2.1 Positive 5.2.2 Negative 5.2.3 Contradictory"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",2,research,"6 Findings 3: Future Expectations 6.1 Actor: Enhancing Creative Abilities by Embodying Characters and Assisting Screenwriters in Expanding Knowledge Boundaries 6.1.1 Simulating Characters Based on Multiple Requirements 6.1.2 Engaging with Screenwriters with Different Methods. 6.2 Audience: Assisting Screenwriters in Evaluating the Value of Their Creations from the Perspective of Diverse Audience Groups, Increasing the Acceptance and Recognition of Their Work 6.2.1 Evaluating as Mass Audience 6.2.2 Providing Feedback as a Specific Group of Audience 6.3 Expert: Offering Authoritative Evaluations and Suggestions, Guiding New Workflows Through Professional Expertise 6.3.1 Providing Professional Guidance and Optimization Suggestions 6.3.2 Promoting New Workflows and Cultivating Multi-skilled Filmmakers 6.4 Executor: Fulfilling Creative Tasks According to Specified Demands, Improving Work Efficiency 6.4.1 Managing Continuation 6.4.2 Visualizing Presentation 6.5 Summary"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",3,research,"6.1 Actor: Enhancing Creative Abilities by Embodying Characters and Assisting Screenwriters in Expanding Knowledge Boundaries 6.1.1 Simulating Characters Based on Multiple Requirements 6.1.2 Engaging with Screenwriters with Different Methods.

6.1.1 Simulating Characters Based on Multiple Requirements

6.1.2 Engaging with Screenwriters with Different Methods.

6.2 Audience: Assisting Screenwriters in Evaluating the Value of Their Creations from the Perspective of Diverse Audience Groups, Increasing the Acceptance and Recognition of Their Work 6.2.1 Evaluating as Mass Audience 6.2.2 Providing Feedback as a Specific Group of Audience

6.2.1 Evaluating as Mass Audience

6.2.2 Providing Feedback as a Specific Group of Audience

6.3 Expert: Offering Authoritative Evaluations and Suggestions, Guiding New Workflows Through Professional Expertise 6.3.1 Providing Professional Guidance and Optimization Suggestions 6.3.2 Promoting New Workflows and Cultivating Multi-skilled Filmmakers"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",4,research,"6.3.1 Providing Professional Guidance and Optimization Suggestions

6.3.2 Promoting New Workflows and Cultivating Multi-skilled Filmmakers

6.4 Executor: Fulfilling Creative Tasks According to Specified Demands, Improving Work Efficiency 6.4.1 Managing Continuation 6.4.2 Visualizing Presentation

7 Future Design Opportunities 7.1 Model Development 7.1.1 Data Collection 7.1.2 Model Training 7.2 Interaction Design 7.2.1 For Emotional Intelligence Enhancement 7.2.2 For Flexibility and Role Adaptation 7.2.3 For Multithreaded and Multimodal Generation

7.1 Model Development 7.1.1 Data Collection 7.1.2 Model Training

7.2 Interaction Design 7.2.1 For Emotional Intelligence Enhancement 7.2.2 For Flexibility and Role Adaptation 7.2.3 For Multithreaded and Multimodal Generation

7.2.1 For Emotional Intelligence Enhancement

7.2.2 For Flexibility and Role Adaptation

7.2.3 For Multithreaded and Multimodal Generation"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",5,research,"7.2.2 For Flexibility and Role Adaptation

7.2.3 For Multithreaded and Multimodal Generation

8 Discussion 8.1 Preserving Creative Agency 8.2 Redefining Authorial Identity 8.2.1 Preserving Creative Contribution through Personalization 8.2.2 Maintaining Ownership and Accountability through Transparency 8.3 Facilitating Collaborative Training 8.3.1 Understanding AI Capabilities and Ethical Considerations 8.3.2 Integrating AI into Workflow 8.3.3 Promoting Awareness of Human Strengths 8.4 Limitation and Future Work

8.2 Redefining Authorial Identity 8.2.1 Preserving Creative Contribution through Personalization 8.2.2 Maintaining Ownership and Accountability through Transparency

8.2.1 Preserving Creative Contribution through Personalization

8.2.2 Maintaining Ownership and Accountability through Transparency"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",6,research,"8.2.2 Maintaining Ownership and Accountability through Transparency

8.3 Facilitating Collaborative Training 8.3.1 Understanding AI Capabilities and Ethical Considerations 8.3.2 Integrating AI into Workflow 8.3.3 Promoting Awareness of Human Strengths

8.3.1 Understanding AI Capabilities and Ethical Considerations

8.3.2 Integrating AI into Workflow

8.3.3 Promoting Awareness of Human Strengths"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",7,research,"With the rise of AI technologies and their growing influence in the screenwriting field, understanding the opportunities and concerns related to AI’s role in screenwriting is essential for enhancing human-AI co-creation. Through semi-structured interviews with 23 screenwriters, we explored their creative practices, attitudes, and expectations in collaborating with AI for screenwriting. Based on participants’ responses, we identified the key stages in which they commonly integrated AI, including story structure & plot development, screenplay text, goal & idea generation, and dialogue. Then, we examined how different attitudes toward AI integration influence screenwriters’ practices across various workflow stages and their broader impact on the industry. Additionally, we categorized their expected assistance using four distinct roles of AI: actor, audience, expert, and executor"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",8,research,. Our findings provide insights into AI’s impact on screenwriting practices and offer suggestions on how AI can benefit the future of screenwriting.
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",9,research,"1. Introduction
Screenwriting involves the creation of screenplays that integrate visual and auditory elements to support storytelling in film, television, and other audiovisual formats (Dunnigan, 2019 ), with the aim of evoking emotional responses through detailed plot structures, dialogue, and scenes (Howard and Mabley, 1993 ).
Belonging to the area of creative writing, screenwriting also has an imaginative and narrative focus (Kerrigan and Batty, 2016 ; Batty, 2015 ).
As a result, it faces similar challenges to creative writing, such as a lack of inspiration and guidance (Gero et al., 2023 ).
Futhermore, its distinctive emphasis on incorporating visual and auditory considerations adds layers of complexity to the creative processes and necessitates tailored approaches to addressing these challenges (Duncan, 2020 )."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",10,research,"1. Introduction
The rapid advancement of technology has enabled the application of AI in screenwriting (Anguiano and Beckett, 2023 ). Previous research demonstrates that AI can support screenwriters by summarizing and cross-checking content to ensure the consistency of screenplay text (Sanghrajka et al., 2017 ; Kapadia et al., 2015 ), as well as analyzing emotions through plot units (Goyal et al., 2010 ). With developments ranging from natural language processing (NLP) to deep learning (DL), AI capabilities have evolved from processing and summarizing content to generating it, offering innovative solutions to screenwriting challenges. For instance, AI can generate character roles with diverse appearances and dialogue styles (Qin et al., 2024 ), assisting users in sparking creative ideas."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",11,research,"1. Introduction
These advancements in AI have shown their ability to enhance screenwriters’ productivity and creativity, leading to economic and industry-wide impacts (Chow, 2020 ). The role of AI in screenwriting was notably highlighted during the Hollywood writers’ strike when the Writers Guild of America and production companies reached an agreement defining AI as a supporting tool rather than a replacement for writers (Board, 2023 ). The agreement prohibits AI from receiving credit, ensures fair compensation for human writers, and allows optional AI assistance for tasks such as script drafting. This reflects the growing integration of advanced AI technologies in screenwriting and their transformative impact on the industry, motivating further exploration of AI’s role in screenwriting."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",12,research,"1. Introduction
While prior studies highlight AI’s expanding role and its impact on screenwriting education (Brako and Mensah, 2023 ) and the broader filmmaking process (Naji, 2024 ), there remains limited understanding of how AI is applied across different stages of the screenwriting workflow. To address this gap, we propose RQ1, which seeks to explore screenwriters’ current practices, including their task allocation involving AI tools."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",13,research,"1. Introduction
Additionally, existing research has primarily focused on topics such as attitudes (Grigis and De Angeli, 2024 ), copyright (Kavitha, 2023 ), and labor considerations (Chow, 2020 ). However, it provides limited insights into the nuanced relationship between screenwriters’ diverse attitudes toward AI and its practical effects across various stages of their workflows. To address this gap, we propose RQ2, which focuses on understanding the reasons behind screenwriters’ differing attitudes and how these attitudes influence their practices regarding AI integration and their perceptions of AI’s impact."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",14,research,"1. Introduction
Finally, recent work by Grigis and Angeli examined the features, strategies, and outcomes of LLM-assisted playwriting (Grigis and De Angeli, 2024 ), and the Dramatron system, developed by Mirowski et al. (Mirowski et al., 2023 ), demonstrated the potential of integrating LLMs into screenwriting workflows. However, these studies focus solely on LLMs, neglecting advancements in AI-generated images and videos. A broader understanding of how emerging and rapidly evolving AI technologies may address the dynamic and evolving needs of screenwriters is still lacking. To address this gap, we propose RQ3, which aims to explore screenwriters’ detailed expectations for future AI tools.

1. Introduction
RQ1: How is AI involved in existing practices within the screenwriting workflow?

1. Introduction
How is AI involved in existing practices within the screenwriting workflow?"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",15,research,"1. Introduction
How is AI involved in existing practices within the screenwriting workflow?

1. Introduction
RQ2: What are the attitudes of screenwriters towards the integration of AI into their workflow?

1. Introduction
What are the attitudes of screenwriters towards the integration of AI into their workflow?

1. Introduction
RQ3: How do screenwriters envision the future roles of AI in the creative process?

1. Introduction
How do screenwriters envision the future roles of AI in the creative process?"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",16,research,1. Introduction
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",17,research,"We conducted in-depth interviews with 23 screenwriters to address these research questions. For RQ1, most participants (78%) reported integrating AI into workflows, primarily in stages such as story structure & plot, screenplay text, goal & idea generation, and dialogue. For RQ2, participants highlighted AI’s strengths in reducing trial-and-error costs, expanding knowledge boundaries, and inspiring overlooked creative ideas but noted challenges such as high usage barriers, inaccuracy, and limited emotional understanding. Opinions on structured and pastiche generation were mixed. Regarding broader societal impacts, participants expressed optimism about AI’s potential to support divergent thinking and industry communication but raised concerns about authorship and copyright. Views on AI as a competitor in screenwriting were divided"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",18,research,". Views on AI as a competitor in screenwriting were divided. For RQ3, we identified participants’ desired AI features in four roles: “actor” for character simulation, “audience” for feedback, “expert” for professional advice, and “executor” for completing tasks. These findings provide insights to guide the development of future AI tools for screenwriting."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",19,research,"1. Introduction
In summary, our study offers the following contributions:

1. Introduction
• We provide insights into the current AI-involved screenwriting practices, revealing the multilayered and diverse ways in which AI tools are utilized.

1. Introduction
We provide insights into the current AI-involved screenwriting practices, revealing the multilayered and diverse ways in which AI tools are utilized.

1. Introduction
• We summarize the complex attitudes screenwriters hold towards AI technology and identify the specific stages within the workflow where AI will be needed in the future.

1. Introduction
We summarize the complex attitudes screenwriters hold towards AI technology and identify the specific stages within the workflow where AI will be needed in the future.

1. Introduction
• We identify four potential roles that AI could play in screenwriting, aiming to clarify screenwriters’ specific functional expectations for AI tools in future co-creation."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",20,research,"1. Introduction
We identify four potential roles that AI could play in screenwriting, aiming to clarify screenwriters’ specific functional expectations for AI tools in future co-creation.

2. Related Work
Our study builds on prior research on AI integration in creative processes, AI tools for creative writing, and AI-supported screenwriting, highlighting gaps specific to screenwriting. These gaps stem from its unique characteristics, including audiovisual storytelling (Senje, 2017 ), structured principles (McKee, 1997 ), and multi-stakeholder collaboration (Taylor and Batty, 2024 ; Cake, 2021 ; Batty et al., 2018 ). Previous studies have not fully incorporated evolving AI capabilities to consider these screenwriting characteristics, underscoring the need for further investigation."
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",21,research,2.1. AI Integration in Creative Processes
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",22,research,"Advancements in AI technology have significantly impacted various creative domains (Anantrasirichai and Bull, 2022 ; Li et al., 2024 ), reshaping fields such as art (Cetinic and She, 2022 ) and design (Lee and Chiu, 2023 ). In art, AI has contributed to interactive media and visual representation (Anadol, 2018 ; Sun et al., 2023 ; Tang et al., 2023 ). In design, AI has been integrated into product design workflows, fostering innovation in idea generation (Hong et al., 2023 ; Chiou et al., 2023 ) and advancing user interface design through features such as adaptability (Cheng et al., 2023 ; Zhang et al., 2023 ). Furthermore, the impact of AI-generated image tools on workflows has been explored (Mustafa, 2023 ; Tang et al., 2024a ), highlighting AI’s potential to democratize graphic design (Tang et al., 2024b ) and emphasizing the need for interdisciplinary collaboration to enhance AI systems (Meron, 2022 )"
https://arxiv.org/html/2502.16153v1,"Understanding Screenwriters’ Practices, Attitudes, and Future Expectations in Human-AI Co-Creation",23,research,". As AI-generated video capabilities advance, AI is also reshaping fashion design through dynamic visuals (Liu et al., 2019 ; Karras et al., 2023 ) and supporting the creation of short-form social media videos (Kim and Kim, 2024 ). Additionally, other research highlights AI’s role in various creative domains, such as design (Zhou et al., 2024 ), and data storytelling (Li et al., 2024 )."
