source,title,chunk_id,source_type,content
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,0,gov,"Department for Science, Innovation & Technology

Department for Culture, Media & Sport

Contents
B. Copyright and Artificial Intelligence

Contents
This publication is licensed under the terms of the Open Government Licence v3.0 except where otherwise stated. To view this licence, visit nationalarchives.gov.uk/doc/open-government-licence/version/3 or write to the Information Policy Team, The National Archives, Kew, London TW9 4DU, or email: psi@nationalarchives.gov.uk.

Contents
Where we have identified any third party copyright information you will need to obtain permission from the copyright holders concerned.

Contents
This publication is available at https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence

Copyright and AI : Consultation
Presented to Parliament by the Secretary of State for Science, Innovation and Technology by Command of His Majesty"
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,1,gov,"Ministerial Foreword
Both our creative industries and our AI sector are UK strengths. They are vital to our national mission to grow the economy. This consultation sets out our plan to deliver a copyright and AI framework that rewards human creativity, incentivises innovation and provides the legal certainty required for long-term growth in both sectors.

Ministerial Foreword
At present, the application of UK copyright law to the training of AI models is disputed. Rights holders are finding it difficult to control the use of their works in training AI models and seek to be remunerated for its use. AI developers are similarly finding it difficult to navigate copyright law in the UK, and this legal uncertainty is undermining investment in and adoption of AI technology."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,2,gov,"Ministerial Foreword
This status quo cannot continue. It risks limiting investment, innovation, and growth in the AI sector, and in the wider economy. It effectively prevents creative industries from exercising their rights.

Ministerial Foreword
There is great strength and breadth of feeling about the best way forward. This government recognises that it must tackle the difficult choices now to unlock growth, innovation and protect human creativity. This consultation seeks views on how we can deliver a solution that achieves our key objectives for the AI sector and creative industries. These objectives are:

Ministerial Foreword
1. Supporting right holders’ control of their content and ability to be remunerated for its use.

Ministerial Foreword
2. Supporting the development of world-leading AI models in the UK by ensuring wide and lawful access to high-quality data.

Ministerial Foreword
3. Promoting greater trust and transparency between the sectors."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,3,gov,"Ministerial Foreword
3. Promoting greater trust and transparency between the sectors.

Ministerial Foreword
Our aim is to deliver these objectives through a package of interventions, to be considered together, that addresses the needs of both sectors, providing clarity and transparency.

Ministerial Foreword
The proposals include a mechanism for right holders to reserve their rights, enabling them to license and be paid for the use of their work in AI training. Alongside this, we propose an exception to support use at scale of a wide range of material by AI developers where rights have not been reserved.

Ministerial Foreword
This approach would balance right holders’ ability to seek remuneration while providing a clear legal basis for AI training with copyright material, so that developers can train leading models in the UK while respecting the rights of right holders."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,4,gov,"Ministerial Foreword
For this approach to work, greater transparency from AI developers is a prerequisite - transparency about the material they use to train models, how they acquire it, and about the content generated by their models. This is vital to strengthen trust, and we are seeking views on how best to deliver it. Legislation may be required to provide legal certainty, and we will consider the case for it as we continue to develop our approach after the consultation.

Ministerial Foreword
We are also conscious that for this system to work there have to be simple technical means for creators to exercise their rights, either individually or collectively. This will require both the AI companies and creative industries to come together to create new technical systems to deliver the desired outcome of greater control and licensing of IP."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,5,gov,"Ministerial Foreword
This approach aims to protect the interests of our creative industries and AI sectors. But successfully delivering it is not straightforward. It will require practical and technical solutions as well as good policy. We are open-eyed about this, but optimistic that we can succeed by working together – across our departments and both sectors.

Ministerial Foreword
We are grateful in advance for your responses and look forward to continuing our shared work to ensure the AI and creative industries continue to grow together in partnership.

A.1 Executive summary
As part of our national mission to grow the economy, the government is committed to supporting the growth of the creative industries and AI sectors while recognising the value of human-centred creativity."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,6,gov,"A.1 Executive summary
As part of our national mission to grow the economy, the government is committed to supporting the growth of the creative industries and AI sectors while recognising the value of human-centred creativity.

A.1 Executive summary
The government is putting both the creative industries and the AI sector at the heart of our Industrial Strategy, to benefit people in every corner of the country with high-quality jobs and drive accelerated growth.

A.1 Executive summary
The government is putting both the creative industries and the AI sector at the heart of our Industrial Strategy, to benefit people in every corner of the country with high-quality jobs and drive accelerated growth."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,7,gov,"A.1 Executive summary
The creative industries drive our economy, including TV and film, advertising, the performing arts, music, publishing, and video games. They contribute £124.8 billion GVA to our economy annually, they employ many thousands of people, they help define our national identity and they fly the flag for our values across the globe. They are intrinsic to our success as a nation and the intellectual property they create is essential to our economic strength.

A.1 Executive summary
The creative industries drive our economy, including TV and film, advertising, the performing arts, music, publishing, and video games. They contribute £124.8 billion GVA to our economy annually, they employ many thousands of people, they help define our national identity and they fly the flag for our values across the globe. They are intrinsic to our success as a nation and the intellectual property they create is essential to our economic strength."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,8,gov,"A.1 Executive summary
The UK is also well placed to seize the transformative opportunities presented by AI. According to the International Monetary Fund World Economic Outlook, this could in time unlock productivity gains of up to 1.5 percentage points annually. The government is committed to building an AI sector that can scale and win globally, ensuring that global AI companies want to call the UK home and boosting the responsible adoption of AI across all parts of the economy. We have commissioned Matt Clifford to deliver an AI Opportunities Action Plan to set out an ambitious roadmap to drive AI innovation and adoption across our public and private sectors. We have also committed to legislating to place requirements on those developing the most powerful AI models of tomorrow – these proposals will reduce regulatory uncertainty for AI developers, strengthen public trust and boost business confidence."
https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence/copyright-and-artificial-intelligence,Copyright and Artificial Intelligence - GOV.UK,9,gov,"A.1 Executive summary
The UK is also well placed to seize the transformative opportunities presented by AI. According to the International Monetary Fund World Economic Outlook, this could in time unlock productivity gains of up to 1.5 percentage points annually. The government is committed to building an AI sector that can scale and win globally, ensuring that global AI companies want to call the UK home and boosting the responsible adoption of AI across all parts of the economy. We have commissioned Matt Clifford to deliver an AI Opportunities Action Plan to set out an ambitious roadmap to drive AI innovation and adoption across our public and private sectors. We have also committed to legislating to place requirements on those developing the most powerful AI models of tomorrow – these proposals will reduce regulatory uncertainty for AI developers, strengthen public trust and boost business confidence."
