source,title,chunk_id,source_type,content
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,0,faq,"Quick Start Open menu Absolute beginner Quick Start Guide Glossary

Workflows Open menu ComfyUI workflows

Want to learn Stable Diffusion AI? This beginner’s guide is for newbies with zero experience with Stable Diffusion, Flux, or other AI image generators. It will give you an overview of Stable Diffusion/Flux AI and where to start.

This is the first part of the beginner’s guide series. Read part 2: Prompt building. Read part 3: Inpainting. Read part 4: Models.

What’s the advantage of Stable Diffusion?

I’m in! How do you start using Stable Diffusion and Flux AI? Online generators Run on your PC Advanced GUI

What Can Stable Diffusion Do? 1. Generate images from text 2. Generate an image from an image 3. Photo Editing 4. Make videos

2. Generate an image from an image

Rules of thumb for building good prompts Be detailed and specific Use powerful keywords

What are those parameters, and should I change them?

How many images should I generate?"
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,1,faq,"What are those parameters, and should I change them?

How many images should I generate?

Common ways to fix defects in images Face Restoration Fixing small artifacts with inpainting

Fixing small artifacts with inpainting

What are custom models? Which model should I use? How to train a new model?

How to make large prints with Stable Diffusion?

How to control image composition? Image-to-image ControlNet Regional prompting Depth-to-image

Generating specific subjects Realistic people Animals

What is Stable Diffusion?
Stable Diffusion AI is a latent diffusion model for generating AI images. The images can be photorealistic, like those captured by a camera, or artistic, as if produced by a professional artist.

What is Stable Diffusion?
The best part is that it is free. You can run it on your PC, or you can use it online for a fee."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,2,faq,"What is Stable Diffusion?
I will talk about the options for using Stable Diffusion and Flux in the later part of this article. But if you can’t wait, grab the Quick Start Guide and dive right into it.

How to use Stable Diffusion?
All you need is a prompt that describes an image. For example:

How to use Stable Diffusion?
gingerbread house, diorama, in focus, white background, toast, crunch cereal

How to use Stable Diffusion?
Stable Diffusion turns this prompt into images like the ones below.

How to use Stable Diffusion?
You can generate as many variations as you want from the same prompt.

What’s the advantage of Stable Diffusion?
There are similar text-to-image generation services like OpenAI’s DALLE and MidJourney. Why Stable Diffusion? The advantages of Stable Diffusion AI are

What’s the advantage of Stable Diffusion?
Open-source: Many enthusiasts have created free tools and models."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,3,faq,"What’s the advantage of Stable Diffusion?
Designed for low-power computers: It’s free or cheap to run.

Is Stable Diffusion AI Free?
Stable Diffusion is free to use when running on your own Windows or Mac machines. An online service will cost you a modest fee.

I’m in! How do you start using Stable Diffusion and Flux AI?
There are many ways to use Stable Diffusion and Flux AI models. You need to decide:

I’m in! How do you start using Stable Diffusion and Flux AI?
Run on your PC or use an online service?

Online generators
For absolute beginners, I recommend using a free online generator. You can start generating without the hassle of setting things up.

Online generators
Generate a few images and see if AI image is your thing."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,4,faq,"Online generators
Generate a few images and see if AI image is your thing.

Run on your PC
The best PC option is running Windows with an Nvidia GPU card. Most AI models are optimized for Nvidia GPUs. AMD GPUs are starting to get traction, but expect to jump through hoops to use them. The more VRAM your GPU has, the less trouble you will need to

Run on your PC
You need an Apple Silicon (M1/M2/M3/M4) to run on a Mac.

Advanced GUI
The downside of free online generators is that the functionalities are pretty limited.

Advanced GUI
Use an advanced GUI (Graphical User Interface) if you’ve outgrown them. A whole array of tools are at your disposal. To name a few:

Advanced GUI
Regenerate a small part of an image with Inpainting.

Advanced GUI
Generate images based on an input image ( Image-to-image )

Advanced GUI
Edit an image by giving an instruction.

Advanced GUI
Control the composition with a reference image ( ControlNet )"
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,5,faq,"Advanced GUI
Control the composition with a reference image ( ControlNet )

Advanced GUI
AUTOMATIC1111 – Easy to use, but development is lagging. Support Stable Diffusion only.

Advanced GUI
Forge – Derived from A1111. Support Stable Diffusion and Flux AI. Fast, but some A1111 extensions do not work.

Advanced GUI
ComfyUI – Steep learning curve. Support both Stable Diffusion and Flux.

Advanced GUI
See the Quick Start Guide for setting them up locally or on Google Colab.

1. Generate images from text
The most basic usage of Stable Diffusion is text-to-image (txt2img). Here are some examples of images you can generate with Stable Diffusion.

1. Generate images from text
Learn how to generate realistic people and realistic street humans.

1. Generate images from text
Take out the guesswork for becoming an AI artist. Learn Stable Diffusion step-by-step.

2. Generate an image from an image
Image-to-image (img2img) transforms one image to another using Stable Diffusion AI."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,6,faq,"2. Generate an image from an image
Below is an example of transforming my drawing of an apple into a photo-realistic one. ( Tutorial )

3. Photo Editing
You can use inpainting to regenerate part of an AI or real image. This is the same as Photoshop’s new generative fill function, but free.

4. Make videos
There are two main ways to make videos with Stable Diffusion: (1) from a text prompt and (2) from another video.

4. Make videos
Deforum is a popular way to make a video from a text prompt. You have probably seen one of them on social media. It looks like this.

4. Make videos
The second way is to stylize a video using Stable Diffusion. See the video-to-video tutorial.

4. Make videos
This is a more advanced topic. It is best to master text-to-image and image-to-image before diving into it."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,7,faq,"How to build a good prompt?
There’s a lot to learn to craft a good prompt. But the basic is to describe your subject in as much detail as possible. Make sure to include powerful keywords to define the style.

How to build a good prompt?
Using a prompt generator is a great way to learn a step-by-step process and important keywords. It is essential for beginners to learn a set of powerful keywords and their expected effects. This is like learning vocabulary for a new language. You can also find a short list of keywords and notes here.

How to build a good prompt?
A shortcut to generating high-quality images is to reuse existing prompts. Head to the prompt collection, pick an image you like, and steal the prompt! The downside is that you may not understand why it generates high-quality images. Read the notes and change the prompt to see the effect."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,8,faq,"How to build a good prompt?
Alternatively, use image collection sites like PlaygroundAI. Pick an image you like and remix the prompt. But it could be like finding a needle in a haystack for a high-quality prompt.

How to build a good prompt?
Treat the prompt as a starting point. Modify to suit your needs.

Rules of thumb for building good prompts
Two rules: (1) Be detailed and specific, and (2) use powerful keywords.

Be detailed and specific
Although AI advances in leaps and bounds, Stable Diffusion still cannot read your mind. You need to describe your image in as much detail as possible.

Be detailed and specific
Let’s say you want to generate a picture of a woman in a street scene. A simplistic prompt

Be detailed and specific
Well, you may not want the generate a grandma, but this technically matches your prompt. You cannot blame Stable Diffusion…

Be detailed and specific
So instead, you should write more."
https://stable-diffusion-art.com/beginners-guide/,How to use Stable Diffusion - Stable Diffusion Art,9,faq,"Be detailed and specific
So instead, you should write more.

Be detailed and specific
a young lady, brown eyes, highlights in hair, smile, wearing stylish business casual attire, sitting outside, quiet city street, rim lighting

Be detailed and specific
See the drastic difference. So work on your prompt-building skills!

Use powerful keywords
Some keywords are more powerful than others. Examples are

Use powerful keywords
Celebrity names (e.g. Emma Watson)

Use powerful keywords
Art medium (e.g. illustration, painting, photograph)

Use powerful keywords
Using them carefully can steer the image in the direction you want.

Use powerful keywords
You can learn more about prompt building and example keywords in the basics of building prompts.

Use powerful keywords
Want to cheat? Like doing homework, you can use ChatGPT to generate prompts!"
